transaction_id,customer_id,region,amount,transaction_date
11,201,South,3900,2026-07-27
12,202,South,4400,2026-07-27
13,203,South,2700,2026-07-28
14,204,South,3100,2026-07-28
15,205,South,4800,2026-07-29
16,206,South,2200,2026-07-29
17,207,South,3600,2026-07-30
18,208,South,4900,2026-07-30
19,209,South,3300,2026-07-31
20,210,South,2800,2026-07-31
21,301,East,4100,2026-07-27
22,302,East,3500,2026-07-27
23,303,East,2900,2026-07-28
24,304,East,4600,2026-07-28
25,305,East,3200,2026-07-29
26,306,East,2700,2026-07-29
27,307,East,4400,2026-07-30
28,308,East,3800,2026-07-30
29,309,East,3100,2026-07-31
30,310,East,4200,2026-07-31
31,401,West,3600,2026-07-27
32,402,West,4300,2026-07-27
33,403,West,2800,2026-07-28
34,404,West,3900,2026-07-28
35,405,West,4700,2026-07-29
36,406,West,3300,2026-07-29
37,407,West,2600,2026-07-30
38,408,West,4100,2026-07-30
39,409,West,3500,2026-07-31
40,410,West,3900,2026-07-31
