transaction_id,customer_id,region,amount,transaction_date
1,101,North,4500,2026-07-20
2,102,North,3200,2026-07-20
3,103,North,2100,2026-07-21
4,104,North,5600,2026-07-21
5,105,North,1800,2026-07-22
6,106,North,3300,2026-07-22
7,107,North,4200,2026-07-23
8,108,North,2900,2026-07-23
9,109,North,3700,2026-07-24
10,110,North,4100,2026-07-24
11,201,South,3900,2026-07-20
12,202,South,4400,2026-07-20
13,203,South,2700,2026-07-21
14,204,South,3100,2026-07-21
15,205,South,4800,2026-07-22
16,206,South,2200,2026-07-22
17,207,South,3600,2026-07-23
18,208,South,4900,2026-07-23
19,209,South,3300,2026-07-24
20,210,South,2800,2026-07-24
21,301,East,4100,2026-07-20
22,302,East,3500,2026-07-20
23,303,East,2900,2026-07-21
24,304,East,4600,2026-07-21
25,305,East,3200,2026-07-22
26,306,East,2700,2026-07-22
27,307,East,4400,2026-07-23
28,308,East,3800,2026-07-23
29,309,East,3100,2026-07-24
30,310,East,4200,2026-07-24
31,401,West,3600,2026-07-20
32,402,West,4300,2026-07-20
33,403,West,2800,2026-07-21
34,404,West,3900,2026-07-21
35,405,West,4700,2026-07-22
36,406,West,3300,2026-07-22
37,407,West,2600,2026-07-23
38,408,West,4100,2026-07-23
39,409,West,3500,2026-07-24
40,410,West,3900,2026-07-24
